Training log started
==================================================
EXPERIMENT CONFIGURATION
==================================================
num_episodes: 100000
learning_rate: 0.001
gamma: 0.99
policy_type: card_aware
num_players: 3
max_hand_size: 6
card_embed_dim: 12
hidden_dim: 64
==================================================
Episode 1000: Reward=74.90, Length=17, Bosses=2, 
Episode 2000: Reward=78.30, Length=18, Bosses=2, 
Episode 3000: Reward=235.50, Length=36, Bosses=5, 
Episode 4000: Reward=134.60, Length=20, Bosses=3, 
Episode 5000: Reward=74.70, Length=14, Bosses=2, 
Episode 6000: Reward=112.40, Length=22, Bosses=3, 
Episode 7000: Reward=217.20, Length=34, Bosses=5, 
Episode 8000: Reward=85.30, Length=18, Bosses=2, 
Episode 9000: Reward=132.00, Length=21, Bosses=3, 
Episode 10000: Reward=16.60, Length=10, Bosses=0, 
Episode 11000: Reward=66.60, Length=15, Bosses=2, 
Episode 12000: Reward=72.20, Length=19, Bosses=2, 
Episode 13000: Reward=134.20, Length=19, Bosses=4, 
Episode 14000: Reward=107.10, Length=15, Bosses=3, 
Episode 15000: Reward=51.20, Length=9, Bosses=1, 
Episode 16000: Reward=67.40, Length=12, Bosses=2, 
Episode 17000: Reward=79.10, Length=15, Bosses=2, 
Episode 18000: Reward=29.70, Length=14, Bosses=1, 
Episode 19000: Reward=133.10, Length=30, Bosses=3, 
Episode 20000: Reward=82.80, Length=13, Bosses=2, 
Episode 21000: Reward=112.30, Length=18, Bosses=3, 
