Training log started
==================================================
EXPERIMENT CONFIGURATION
==================================================
num_episodes: 50000
learning_rate: 0.0015
gamma: 0.95
policy_type: card_aware
num_players: 4
max_hand_size: 5
card_embed_dim: 12
hidden_dim: 32
==================================================
Episode 200: Reward=19.73, Length=13, Bosses=1, WinRate=68.00%
Episode 400: Reward=20.45, Length=17, Bosses=1, WinRate=60.00%
Episode 600: Reward=30.93, Length=13, Bosses=2, WinRate=66.00%
Episode 800: Reward=-11.26, Length=4, Bosses=0, WinRate=64.00%
Episode 1000: Reward=28.25, Length=12, Bosses=2, WinRate=58.00%
Episode 1200: Reward=-16.70, Length=3, Bosses=0, WinRate=64.00%
Episode 1400: Reward=-16.75, Length=2, Bosses=0, WinRate=63.00%
Episode 1600: Reward=-16.85, Length=2, Bosses=0, WinRate=62.00%
Episode 1800: Reward=5.84, Length=9, Bosses=1, WinRate=79.00%
Episode 2000: Reward=-15.94, Length=4, Bosses=0, WinRate=60.00%
Episode 2200: Reward=-16.75, Length=2, Bosses=0, WinRate=61.00%
Episode 2400: Reward=34.20, Length=16, Bosses=2, WinRate=68.00%
Episode 2600: Reward=-0.07, Length=5, Bosses=1, WinRate=64.00%
Episode 2800: Reward=10.36, Length=11, Bosses=1, WinRate=66.00%
Episode 3000: Reward=3.95, Length=9, Bosses=1, WinRate=61.00%
Episode 3200: Reward=-16.85, Length=2, Bosses=0, WinRate=69.00%
Episode 3400: Reward=45.24, Length=22, Bosses=2, WinRate=65.00%
Episode 3600: Reward=-11.85, Length=4, Bosses=0, WinRate=62.00%
Episode 3800: Reward=88.87, Length=18, Bosses=4, WinRate=74.00%
Episode 4000: Reward=77.95, Length=15, Bosses=4, WinRate=64.00%
Episode 4200: Reward=38.37, Length=18, Bosses=2, WinRate=71.00%
Episode 4400: Reward=81.05, Length=17, Bosses=4, WinRate=64.00%
Episode 4600: Reward=53.88, Length=15, Bosses=3, WinRate=63.00%
Episode 4800: Reward=34.60, Length=14, Bosses=2, WinRate=68.00%
Episode 5000: Reward=-11.59, Length=9, Bosses=0, WinRate=72.00%
Episode 5200: Reward=-17.05, Length=2, Bosses=0, WinRate=61.00%
Episode 5400: Reward=76.34, Length=25, Bosses=3, WinRate=62.00%
Episode 5600: Reward=57.84, Length=21, Bosses=2, WinRate=70.00%
Episode 5800: Reward=55.73, Length=13, Bosses=3, WinRate=67.00%
Episode 6000: Reward=16.08, Length=11, Bosses=1, WinRate=75.00%
Episode 6200: Reward=87.04, Length=27, Bosses=4, WinRate=77.00%
Episode 6400: Reward=17.60, Length=11, Bosses=1, WinRate=67.00%
Episode 6600: Reward=-15.66, Length=4, Bosses=0, WinRate=67.00%
