Training log started
==================================================
EXPERIMENT CONFIGURATION
==================================================
num_episodes: 50000
learning_rate: 0.0015
gamma: 0.95
policy_type: card_aware
num_players: 4
max_hand_size: 5
card_embed_dim: 12
hidden_dim: 32
==================================================
Episode 200: Reward=37.74, Length=18, Bosses=2, WinRate=68.00%
Episode 400: Reward=2.17, Length=13, Bosses=0, WinRate=71.00%
Episode 600: Reward=15.45, Length=15, Bosses=1, WinRate=70.00%
Episode 800: Reward=-16.60, Length=3, Bosses=0, WinRate=69.00%
Episode 1000: Reward=14.53, Length=12, Bosses=1, WinRate=79.00%
Episode 1200: Reward=20.46, Length=13, Bosses=1, WinRate=81.00%
Episode 1400: Reward=32.02, Length=12, Bosses=2, WinRate=90.00%
Episode 1600: Reward=92.74, Length=23, Bosses=4, WinRate=94.00%
Episode 1800: Reward=20.60, Length=10, Bosses=1, WinRate=94.00%
Episode 2000: Reward=57.24, Length=15, Bosses=3, WinRate=99.00%
Episode 2200: Reward=26.85, Length=11, Bosses=2, WinRate=98.00%
Episode 2400: Reward=31.20, Length=10, Bosses=2, WinRate=98.00%
Episode 2600: Reward=-7.95, Length=6, Bosses=0, WinRate=94.00%
Episode 2800: Reward=62.76, Length=23, Bosses=3, WinRate=98.00%
Episode 3000: Reward=90.85, Length=23, Bosses=4, WinRate=95.00%
Episode 3200: Reward=59.13, Length=21, Bosses=3, WinRate=99.00%
Episode 3400: Reward=21.55, Length=8, Bosses=2, WinRate=98.00%
Episode 3600: Reward=52.55, Length=20, Bosses=2, WinRate=97.00%
Episode 3800: Reward=25.65, Length=13, Bosses=1, WinRate=94.00%
Episode 4000: Reward=32.63, Length=12, Bosses=2, WinRate=95.00%
Episode 4200: Reward=13.77, Length=11, Bosses=1, WinRate=93.00%
Episode 4400: Reward=43.65, Length=17, Bosses=2, WinRate=98.00%
Episode 4600: Reward=38.12, Length=21, Bosses=2, WinRate=93.00%
Episode 4800: Reward=34.22, Length=14, Bosses=2, WinRate=95.00%
Episode 5000: Reward=36.99, Length=16, Bosses=2, WinRate=97.00%
Episode 5200: Reward=23.04, Length=10, Bosses=2, WinRate=96.00%
Episode 5400: Reward=89.17, Length=33, Bosses=3, WinRate=95.00%
Episode 5600: Reward=98.02, Length=26, Bosses=4, WinRate=90.00%
Episode 5800: Reward=87.51, Length=24, Bosses=4, WinRate=89.00%
Episode 6000: Reward=76.32, Length=25, Bosses=3, WinRate=95.00%
Episode 6200: Reward=35.78, Length=17, Bosses=2, WinRate=99.00%
Episode 6400: Reward=13.15, Length=13, Bosses=1, WinRate=96.00%
Episode 6600: Reward=18.20, Length=11, Bosses=1, WinRate=93.00%
Episode 6800: Reward=81.06, Length=22, Bosses=4, WinRate=89.00%
Episode 7000: Reward=-7.43, Length=4, Bosses=0, WinRate=82.00%
Episode 7200: Reward=60.99, Length=16, Bosses=3, WinRate=90.00%
Episode 7400: Reward=-8.75, Length=2, Bosses=0, WinRate=93.00%
Episode 7600: Reward=60.12, Length=22, Bosses=3, WinRate=90.00%
Episode 7800: Reward=118.37, Length=32, Bosses=4, WinRate=94.00%
Episode 8000: Reward=29.60, Length=12, Bosses=2, WinRate=90.00%
Episode 8200: Reward=95.45, Length=27, Bosses=4, WinRate=93.00%
Episode 8400: Reward=88.14, Length=24, Bosses=4, WinRate=86.00%
Episode 8600: Reward=21.12, Length=16, Bosses=1, WinRate=93.00%
Episode 8800: Reward=37.50, Length=14, Bosses=2, WinRate=92.00%
Episode 9000: Reward=34.20, Length=13, Bosses=2, WinRate=94.00%
Episode 9200: Reward=87.08, Length=25, Bosses=4, WinRate=97.00%
Episode 9400: Reward=27.37, Length=12, Bosses=2, WinRate=98.00%
Episode 9600: Reward=43.89, Length=22, Bosses=1, WinRate=94.00%
Episode 9800: Reward=82.64, Length=21, Bosses=4, WinRate=88.00%
Episode 10000: Reward=-3.79, Length=4, Bosses=0, WinRate=91.00%
Episode 10200: Reward=16.32, Length=10, Bosses=1, WinRate=97.00%
Episode 10400: Reward=20.23, Length=12, Bosses=1, WinRate=82.00%
Episode 10600: Reward=74.81, Length=28, Bosses=3, WinRate=86.00%
Episode 10800: Reward=56.67, Length=20, Bosses=3, WinRate=77.00%
Episode 11000: Reward=21.89, Length=9, Bosses=2, WinRate=80.00%
Episode 11200: Reward=69.86, Length=18, Bosses=3, WinRate=83.00%
Episode 11400: Reward=-15.68, Length=4, Bosses=0, WinRate=86.00%
Episode 11600: Reward=85.88, Length=20, Bosses=4, WinRate=86.00%
Episode 11800: Reward=99.82, Length=23, Bosses=4, WinRate=94.00%
Episode 12000: Reward=10.10, Length=7, Bosses=1, WinRate=93.00%
Episode 12200: Reward=114.77, Length=27, Bosses=4, WinRate=91.00%
Episode 12400: Reward=61.95, Length=18, Bosses=3, WinRate=97.00%
Episode 12600: Reward=37.60, Length=21, Bosses=2, WinRate=97.00%
Episode 12800: Reward=64.78, Length=16, Bosses=3, WinRate=99.00%
Episode 13000: Reward=32.90, Length=11, Bosses=2, WinRate=98.00%
Episode 13200: Reward=83.93, Length=20, Bosses=4, WinRate=95.00%
Episode 13400: Reward=61.94, Length=21, Bosses=3, WinRate=100.00%
Episode 13600: Reward=34.34, Length=15, Bosses=2, WinRate=90.00%
Episode 13800: Reward=51.94, Length=22, Bosses=2, WinRate=90.00%
Episode 14000: Reward=44.78, Length=18, Bosses=1, WinRate=84.00%
Episode 14200: Reward=54.55, Length=26, Bosses=2, WinRate=80.00%
Episode 14400: Reward=23.79, Length=12, Bosses=2, WinRate=89.00%
Episode 14600: Reward=37.37, Length=17, Bosses=2, WinRate=82.00%
Episode 14800: Reward=48.88, Length=24, Bosses=2, WinRate=86.00%
Episode 15000: Reward=71.14, Length=27, Bosses=3, WinRate=86.00%
Episode 15200: Reward=6.16, Length=5, Bosses=1, WinRate=84.00%
Episode 15400: Reward=31.21, Length=15, Bosses=2, WinRate=91.00%
Episode 15600: Reward=25.85, Length=9, Bosses=2, WinRate=89.00%
Episode 15800: Reward=35.38, Length=15, Bosses=2, WinRate=79.00%
Episode 16000: Reward=75.94, Length=16, Bosses=4, WinRate=76.00%
Episode 16200: Reward=93.06, Length=27, Bosses=4, WinRate=81.00%
Episode 16400: Reward=12.20, Length=9, Bosses=1, WinRate=80.00%
Episode 16600: Reward=10.32, Length=9, Bosses=1, WinRate=81.00%
Episode 16800: Reward=54.41, Length=15, Bosses=3, WinRate=91.00%
Episode 17000: Reward=114.41, Length=24, Bosses=5, WinRate=93.00%
Episode 17200: Reward=69.10, Length=23, Bosses=3, WinRate=87.00%
Episode 17400: Reward=87.44, Length=25, Bosses=4, WinRate=79.00%
Episode 17600: Reward=86.31, Length=26, Bosses=4, WinRate=73.00%
Episode 17800: Reward=131.08, Length=35, Bosses=5, WinRate=83.00%
Episode 18000: Reward=38.78, Length=14, Bosses=2, WinRate=82.00%
Episode 18200: Reward=19.05, Length=13, Bosses=1, WinRate=80.00%
Episode 18400: Reward=38.05, Length=14, Bosses=2, WinRate=81.00%
Episode 18600: Reward=28.50, Length=14, Bosses=2, WinRate=92.00%
Episode 18800: Reward=15.10, Length=7, Bosses=1, WinRate=93.00%
Episode 19000: Reward=66.86, Length=19, Bosses=3, WinRate=90.00%
Episode 19200: Reward=13.63, Length=7, Bosses=1, WinRate=90.00%
Episode 19400: Reward=9.70, Length=12, Bosses=1, WinRate=90.00%
Episode 19600: Reward=8.48, Length=10, Bosses=1, WinRate=88.00%
Episode 19800: Reward=89.33, Length=23, Bosses=4, WinRate=90.00%
Episode 20000: Reward=64.12, Length=20, Bosses=3, WinRate=91.00%
Episode 20200: Reward=67.84, Length=15, Bosses=4, WinRate=81.00%
Episode 20400: Reward=31.22, Length=13, Bosses=2, WinRate=83.00%
Episode 20600: Reward=61.60, Length=17, Bosses=3, WinRate=81.00%
Episode 20800: Reward=44.35, Length=16, Bosses=2, WinRate=78.00%
Episode 21000: Reward=26.60, Length=11, Bosses=2, WinRate=82.00%
Episode 21200: Reward=94.82, Length=27, Bosses=4, WinRate=83.00%
Episode 21400: Reward=53.39, Length=21, Bosses=2, WinRate=79.00%
Episode 21600: Reward=91.91, Length=22, Bosses=4, WinRate=81.00%
Episode 21800: Reward=52.67, Length=27, Bosses=2, WinRate=83.00%
Episode 22000: Reward=27.82, Length=13, Bosses=2, WinRate=87.00%
Episode 22200: Reward=13.68, Length=7, Bosses=1, WinRate=86.00%
Episode 22400: Reward=15.10, Length=10, Bosses=1, WinRate=79.00%
Episode 22600: Reward=26.02, Length=11, Bosses=1, WinRate=78.00%
Episode 22800: Reward=21.50, Length=11, Bosses=1, WinRate=76.00%
Episode 23000: Reward=31.38, Length=16, Bosses=2, WinRate=76.00%
Episode 23200: Reward=29.74, Length=15, Bosses=2, WinRate=79.00%
Episode 23400: Reward=-17.05, Length=2, Bosses=0, WinRate=85.00%
Episode 23600: Reward=25.97, Length=11, Bosses=2, WinRate=88.00%
Episode 23800: Reward=54.89, Length=17, Bosses=3, WinRate=86.00%
Episode 24000: Reward=10.55, Length=10, Bosses=1, WinRate=81.00%
Episode 24200: Reward=36.12, Length=17, Bosses=2, WinRate=88.00%
Episode 24400: Reward=23.70, Length=17, Bosses=1, WinRate=91.00%
Episode 24600: Reward=58.33, Length=19, Bosses=3, WinRate=85.00%
Episode 24800: Reward=124.46, Length=30, Bosses=4, WinRate=88.00%
Episode 25000: Reward=43.27, Length=19, Bosses=2, WinRate=86.00%
Episode 25200: Reward=31.20, Length=12, Bosses=2, WinRate=81.00%
Episode 25400: Reward=-16.50, Length=3, Bosses=0, WinRate=83.00%
Episode 25600: Reward=24.34, Length=14, Bosses=1, WinRate=84.00%
Episode 25800: Reward=78.86, Length=27, Bosses=3, WinRate=87.00%
Episode 26000: Reward=-17.55, Length=2, Bosses=0, WinRate=78.00%
Episode 26200: Reward=15.03, Length=12, Bosses=1, WinRate=87.00%
Episode 26400: Reward=11.77, Length=8, Bosses=1, WinRate=85.00%
Episode 26600: Reward=16.32, Length=13, Bosses=1, WinRate=85.00%
Episode 26800: Reward=79.31, Length=20, Bosses=4, WinRate=84.00%
Episode 27000: Reward=97.45, Length=28, Bosses=4, WinRate=87.00%
Episode 27200: Reward=42.03, Length=17, Bosses=2, WinRate=85.00%
Episode 27400: Reward=39.69, Length=15, Bosses=2, WinRate=89.00%
Episode 27600: Reward=41.10, Length=16, Bosses=2, WinRate=83.00%
Episode 27800: Reward=82.68, Length=20, Bosses=4, WinRate=79.00%
Episode 28000: Reward=78.27, Length=26, Bosses=3, WinRate=79.00%
Episode 28200: Reward=52.30, Length=23, Bosses=2, WinRate=79.00%
Episode 28400: Reward=86.88, Length=20, Bosses=4, WinRate=77.00%
Episode 28600: Reward=-8.35, Length=4, Bosses=0, WinRate=79.00%
Episode 28800: Reward=68.20, Length=23, Bosses=3, WinRate=71.00%
Episode 29000: Reward=-10.85, Length=4, Bosses=0, WinRate=84.00%
Episode 29200: Reward=14.07, Length=11, Bosses=1, WinRate=82.00%
Episode 29400: Reward=56.94, Length=17, Bosses=3, WinRate=74.00%
Episode 29600: Reward=-17.15, Length=2, Bosses=0, WinRate=77.00%
Episode 29800: Reward=87.78, Length=27, Bosses=3, WinRate=78.00%
Episode 30000: Reward=10.81, Length=9, Bosses=1, WinRate=81.00%
Episode 30200: Reward=8.10, Length=5, Bosses=1, WinRate=76.00%
Episode 30400: Reward=19.57, Length=13, Bosses=1, WinRate=75.00%
Episode 30600: Reward=61.64, Length=17, Bosses=3, WinRate=79.00%
Episode 30800: Reward=90.08, Length=21, Bosses=4, WinRate=79.00%
Episode 31000: Reward=-17.05, Length=2, Bosses=0, WinRate=78.00%
Episode 31200: Reward=93.29, Length=24, Bosses=4, WinRate=79.00%
Episode 31400: Reward=58.81, Length=16, Bosses=3, WinRate=75.00%
Episode 31600: Reward=58.70, Length=15, Bosses=3, WinRate=81.00%
Episode 31800: Reward=-17.05, Length=2, Bosses=0, WinRate=81.00%
Episode 32000: Reward=28.40, Length=11, Bosses=2, WinRate=89.00%
Episode 32200: Reward=44.64, Length=24, Bosses=2, WinRate=80.00%
Episode 32400: Reward=53.96, Length=19, Bosses=3, WinRate=85.00%
Episode 32600: Reward=-16.95, Length=2, Bosses=0, WinRate=81.00%
Episode 32800: Reward=55.62, Length=22, Bosses=2, WinRate=76.00%
Episode 33000: Reward=18.24, Length=11, Bosses=1, WinRate=78.00%
Episode 33200: Reward=34.31, Length=18, Bosses=2, WinRate=81.00%
Episode 33400: Reward=20.85, Length=6, Bosses=2, WinRate=84.00%
Episode 33600: Reward=38.31, Length=21, Bosses=1, WinRate=72.00%
Episode 33800: Reward=95.86, Length=29, Bosses=4, WinRate=78.00%
Episode 34000: Reward=-16.85, Length=2, Bosses=0, WinRate=76.00%
Episode 34200: Reward=72.76, Length=30, Bosses=2, WinRate=87.00%
Episode 34400: Reward=42.53, Length=23, Bosses=2, WinRate=77.00%
Episode 34600: Reward=35.10, Length=18, Bosses=2, WinRate=84.00%
Episode 34800: Reward=60.04, Length=15, Bosses=3, WinRate=88.00%
Episode 35000: Reward=-16.80, Length=3, Bosses=0, WinRate=83.00%
Episode 35200: Reward=34.59, Length=12, Bosses=2, WinRate=82.00%
Episode 35400: Reward=86.32, Length=22, Bosses=4, WinRate=84.00%
