Training log started
==================================================
EXPERIMENT CONFIGURATION
==================================================
num_episodes: 35000
learning_rate: 0.005
gamma: 0.99
policy_type: card_aware
num_players: 4
max_hand_size: 6
card_embed_dim: 64
hidden_dim: 128
==================================================
Episode 50: Reward=14.50, Length=11, Bosses=1, WinRate=56.00%
Episode 100: Reward=-11.98, Length=4, Bosses=0, WinRate=57.00%
Episode 150: Reward=-11.10, Length=4, Bosses=0, WinRate=48.00%
Episode 200: Reward=25.65, Length=17, Bosses=1, WinRate=41.00%
Episode 250: Reward=17.96, Length=13, Bosses=1, WinRate=49.00%
Episode 300: Reward=-11.00, Length=4, Bosses=0, WinRate=47.00%
Episode 350: Reward=13.27, Length=11, Bosses=1, WinRate=45.00%
Episode 400: Reward=-13.80, Length=2, Bosses=0, WinRate=42.00%
Episode 450: Reward=-13.80, Length=2, Bosses=0, WinRate=40.00%
Episode 500: Reward=13.32, Length=13, Bosses=1, WinRate=46.00%
Episode 550: Reward=3.16, Length=9, Bosses=1, WinRate=49.00%
Episode 600: Reward=-13.95, Length=2, Bosses=0, WinRate=43.00%
Episode 650: Reward=14.02, Length=13, Bosses=1, WinRate=45.00%
Episode 700: Reward=2.54, Length=10, Bosses=0, WinRate=45.00%
Episode 750: Reward=2.52, Length=7, Bosses=1, WinRate=41.00%
Episode 800: Reward=21.26, Length=13, Bosses=1, WinRate=50.00%
Episode 850: Reward=-13.80, Length=4, Bosses=0, WinRate=50.00%
Episode 900: Reward=-8.95, Length=2, Bosses=0, WinRate=43.00%
Episode 950: Reward=-13.80, Length=2, Bosses=0, WinRate=38.00%
Episode 1000: Reward=25.04, Length=21, Bosses=1, WinRate=36.00%
Episode 1050: Reward=4.70, Length=5, Bosses=1, WinRate=39.00%
Episode 1100: Reward=10.80, Length=9, Bosses=1, WinRate=46.00%
Episode 1150: Reward=-13.95, Length=2, Bosses=0, WinRate=50.00%
Episode 1200: Reward=2.80, Length=9, Bosses=1, WinRate=48.00%
Episode 1250: Reward=14.03, Length=19, Bosses=1, WinRate=46.00%
Episode 1300: Reward=-14.10, Length=2, Bosses=0, WinRate=52.00%
Episode 1350: Reward=-0.14, Length=7, Bosses=1, WinRate=47.00%
Episode 1400: Reward=4.92, Length=11, Bosses=1, WinRate=39.00%
Episode 1450: Reward=-13.95, Length=2, Bosses=0, WinRate=39.00%
