Training log started
==================================================
EXPERIMENT CONFIGURATION
==================================================
num_episodes: 50000
learning_rate: 0.0015
gamma: 0.95
policy_type: card_aware
num_players: 4
max_hand_size: 5
card_embed_dim: 12
hidden_dim: 32
==================================================
Episode 16800: Reward=5.10, Length=3, Bosses=1, WinRate=94.00%
Episode 17000: Reward=41.20, Length=14, Bosses=2, WinRate=99.00%
Episode 17200: Reward=69.13, Length=21, Bosses=3, WinRate=96.00%
Episode 17400: Reward=102.64, Length=29, Bosses=4, WinRate=97.00%
Episode 17600: Reward=47.29, Length=14, Bosses=3, WinRate=98.00%
Episode 17800: Reward=69.06, Length=22, Bosses=3, WinRate=98.00%
Episode 18000: Reward=62.80, Length=17, Bosses=3, WinRate=96.00%
Episode 18200: Reward=8.68, Length=7, Bosses=1, WinRate=96.00%
Episode 18400: Reward=52.61, Length=13, Bosses=3, WinRate=97.00%
Episode 18600: Reward=95.33, Length=23, Bosses=4, WinRate=97.00%
Episode 18800: Reward=24.30, Length=11, Bosses=1, WinRate=97.00%
Episode 19000: Reward=60.32, Length=16, Bosses=3, WinRate=94.00%
Episode 19200: Reward=21.00, Length=14, Bosses=1, WinRate=99.00%
Episode 19400: Reward=108.65, Length=27, Bosses=4, WinRate=95.00%
Episode 19600: Reward=78.06, Length=24, Bosses=3, WinRate=98.00%
Episode 19800: Reward=57.65, Length=16, Bosses=3, WinRate=93.00%
Episode 20000: Reward=103.41, Length=31, Bosses=4, WinRate=99.00%
Episode 20200: Reward=64.12, Length=16, Bosses=3, WinRate=93.00%
Episode 20400: Reward=101.61, Length=23, Bosses=4, WinRate=97.00%
Episode 20600: Reward=64.06, Length=22, Bosses=3, WinRate=96.00%
Episode 20800: Reward=17.71, Length=17, Bosses=1, WinRate=99.00%
Episode 21000: Reward=45.13, Length=24, Bosses=2, WinRate=95.00%
Episode 21200: Reward=58.30, Length=14, Bosses=3, WinRate=97.00%
Episode 21400: Reward=35.36, Length=17, Bosses=2, WinRate=97.00%
Episode 21600: Reward=53.27, Length=18, Bosses=2, WinRate=98.00%
Episode 21800: Reward=34.10, Length=15, Bosses=2, WinRate=97.00%
Episode 22000: Reward=61.42, Length=20, Bosses=3, WinRate=96.00%
Episode 22200: Reward=96.79, Length=26, Bosses=4, WinRate=97.00%
Episode 22400: Reward=9.60, Length=5, Bosses=1, WinRate=96.00%
Episode 22600: Reward=39.60, Length=16, Bosses=2, WinRate=98.00%
Episode 22800: Reward=11.15, Length=10, Bosses=1, WinRate=98.00%
Episode 23000: Reward=19.30, Length=5, Bosses=2, WinRate=96.00%
Episode 23200: Reward=17.77, Length=12, Bosses=1, WinRate=95.00%
Episode 23400: Reward=65.36, Length=18, Bosses=3, WinRate=93.00%
Episode 23600: Reward=77.29, Length=20, Bosses=4, WinRate=95.00%
Episode 23800: Reward=17.85, Length=12, Bosses=1, WinRate=97.00%
Episode 24000: Reward=43.45, Length=16, Bosses=2, WinRate=95.00%
Episode 24200: Reward=40.43, Length=21, Bosses=2, WinRate=98.00%
Episode 24400: Reward=35.84, Length=16, Bosses=2, WinRate=97.00%
Episode 24600: Reward=98.26, Length=26, Bosses=4, WinRate=96.00%
Episode 24800: Reward=41.63, Length=17, Bosses=2, WinRate=95.00%
Episode 25000: Reward=38.74, Length=16, Bosses=2, WinRate=98.00%
Episode 25200: Reward=31.40, Length=12, Bosses=2, WinRate=92.00%
Episode 25400: Reward=46.69, Length=18, Bosses=2, WinRate=97.00%
Episode 25600: Reward=34.03, Length=14, Bosses=2, WinRate=96.00%
Episode 25800: Reward=8.90, Length=5, Bosses=1, WinRate=97.00%
Episode 26000: Reward=30.45, Length=18, Bosses=1, WinRate=99.00%
Episode 26200: Reward=52.76, Length=15, Bosses=3, WinRate=94.00%
Episode 26400: Reward=93.35, Length=25, Bosses=4, WinRate=93.00%
Episode 26600: Reward=34.34, Length=15, Bosses=2, WinRate=96.00%
Episode 26800: Reward=83.95, Length=23, Bosses=4, WinRate=98.00%
Episode 27000: Reward=72.72, Length=27, Bosses=3, WinRate=97.00%
Episode 27200: Reward=99.12, Length=36, Bosses=3, WinRate=96.00%
Episode 27400: Reward=17.04, Length=9, Bosses=1, WinRate=96.00%
Episode 27600: Reward=29.00, Length=10, Bosses=2, WinRate=98.00%
Episode 27800: Reward=55.81, Length=15, Bosses=3, WinRate=99.00%
Episode 28000: Reward=10.96, Length=10, Bosses=1, WinRate=98.00%
Episode 28200: Reward=59.21, Length=17, Bosses=3, WinRate=94.00%
Episode 28400: Reward=77.38, Length=26, Bosses=3, WinRate=98.00%
Episode 28600: Reward=38.62, Length=14, Bosses=2, WinRate=97.00%
Episode 28800: Reward=35.00, Length=13, Bosses=2, WinRate=98.00%
Episode 29000: Reward=73.80, Length=22, Bosses=3, WinRate=95.00%
Episode 29200: Reward=52.43, Length=24, Bosses=2, WinRate=94.00%
Episode 29400: Reward=54.48, Length=14, Bosses=3, WinRate=98.00%
Episode 29600: Reward=55.54, Length=17, Bosses=3, WinRate=92.00%
Episode 29800: Reward=-3.05, Length=4, Bosses=0, WinRate=86.00%
Episode 30000: Reward=61.13, Length=20, Bosses=3, WinRate=84.00%
Episode 30200: Reward=28.15, Length=12, Bosses=2, WinRate=84.00%
Episode 30400: Reward=39.48, Length=15, Bosses=2, WinRate=96.00%
Episode 30600: Reward=60.88, Length=16, Bosses=3, WinRate=93.00%
Episode 30800: Reward=80.55, Length=21, Bosses=4, WinRate=91.00%
Episode 31000: Reward=59.82, Length=21, Bosses=3, WinRate=94.00%
Episode 31200: Reward=26.00, Length=11, Bosses=2, WinRate=94.00%
Episode 31400: Reward=29.45, Length=15, Bosses=1, WinRate=93.00%
Episode 31600: Reward=108.62, Length=34, Bosses=4, WinRate=96.00%
Episode 31800: Reward=41.47, Length=17, Bosses=2, WinRate=94.00%
Episode 32000: Reward=27.15, Length=8, Bosses=2, WinRate=98.00%
Episode 32200: Reward=30.65, Length=11, Bosses=2, WinRate=98.00%
Episode 32400: Reward=135.47, Length=36, Bosses=4, WinRate=92.00%
Episode 32600: Reward=57.87, Length=17, Bosses=3, WinRate=98.00%
Episode 32800: Reward=3.88, Length=7, Bosses=1, WinRate=97.00%
Episode 33000: Reward=13.13, Length=7, Bosses=1, WinRate=99.00%
Episode 33200: Reward=33.40, Length=13, Bosses=2, WinRate=95.00%
Episode 33400: Reward=20.53, Length=13, Bosses=1, WinRate=96.00%
Episode 33600: Reward=74.18, Length=24, Bosses=3, WinRate=97.00%
Episode 33800: Reward=51.48, Length=14, Bosses=3, WinRate=94.00%
Episode 34000: Reward=83.89, Length=21, Bosses=4, WinRate=94.00%
Episode 34200: Reward=151.55, Length=36, Bosses=5, WinRate=90.00%
Episode 34400: Reward=60.38, Length=17, Bosses=3, WinRate=95.00%
Episode 34600: Reward=25.76, Length=11, Bosses=1, WinRate=97.00%
Episode 34800: Reward=26.52, Length=10, Bosses=2, WinRate=98.00%
Episode 35000: Reward=38.34, Length=17, Bosses=2, WinRate=98.00%
Episode 35200: Reward=100.82, Length=26, Bosses=4, WinRate=97.00%
Episode 35400: Reward=59.71, Length=18, Bosses=3, WinRate=94.00%
Episode 35600: Reward=36.25, Length=18, Bosses=2, WinRate=97.00%
Episode 35800: Reward=64.70, Length=17, Bosses=3, WinRate=90.00%
Episode 36000: Reward=5.47, Length=8, Bosses=1, WinRate=94.00%
Episode 36200: Reward=33.44, Length=12, Bosses=2, WinRate=95.00%
Episode 36400: Reward=27.45, Length=10, Bosses=2, WinRate=96.00%
Episode 36600: Reward=52.65, Length=18, Bosses=2, WinRate=95.00%
Episode 36800: Reward=90.04, Length=22, Bosses=4, WinRate=95.00%
Episode 37000: Reward=97.50, Length=26, Bosses=4, WinRate=99.00%
Episode 37200: Reward=73.78, Length=25, Bosses=3, WinRate=95.00%
Episode 37400: Reward=44.17, Length=21, Bosses=2, WinRate=98.00%
Episode 37600: Reward=54.55, Length=15, Bosses=3, WinRate=96.00%
Episode 37800: Reward=121.07, Length=33, Bosses=4, WinRate=96.00%
Episode 38000: Reward=37.18, Length=13, Bosses=2, WinRate=96.00%
Episode 38200: Reward=51.58, Length=20, Bosses=2, WinRate=95.00%
Episode 38400: Reward=59.02, Length=19, Bosses=3, WinRate=96.00%
Episode 38600: Reward=29.52, Length=12, Bosses=2, WinRate=96.00%
Episode 38800: Reward=30.45, Length=13, Bosses=2, WinRate=94.00%
Episode 39000: Reward=-11.82, Length=11, Bosses=0, WinRate=96.00%
Episode 39200: Reward=18.67, Length=9, Bosses=1, WinRate=95.00%
Episode 39400: Reward=96.00, Length=21, Bosses=4, WinRate=99.00%
Episode 39600: Reward=63.65, Length=21, Bosses=3, WinRate=99.00%
Episode 39800: Reward=19.96, Length=14, Bosses=1, WinRate=97.00%
Episode 40000: Reward=64.90, Length=20, Bosses=3, WinRate=99.00%
Episode 40200: Reward=55.31, Length=13, Bosses=3, WinRate=97.00%
Episode 40400: Reward=22.07, Length=14, Bosses=1, WinRate=95.00%
Episode 40600: Reward=54.80, Length=14, Bosses=3, WinRate=93.00%
Episode 40800: Reward=109.79, Length=29, Bosses=4, WinRate=98.00%
Episode 41000: Reward=75.39, Length=25, Bosses=3, WinRate=96.00%
Episode 41200: Reward=54.10, Length=16, Bosses=3, WinRate=93.00%
Episode 41400: Reward=28.72, Length=15, Bosses=1, WinRate=98.00%
Episode 41600: Reward=39.74, Length=15, Bosses=2, WinRate=94.00%
Episode 41800: Reward=62.74, Length=18, Bosses=3, WinRate=92.00%
Episode 42000: Reward=102.13, Length=27, Bosses=4, WinRate=99.00%
Episode 42200: Reward=36.67, Length=17, Bosses=2, WinRate=97.00%
Episode 42400: Reward=93.57, Length=25, Bosses=4, WinRate=96.00%
Episode 42600: Reward=9.40, Length=5, Bosses=1, WinRate=97.00%
Episode 42800: Reward=44.23, Length=17, Bosses=2, WinRate=99.00%
Episode 43000: Reward=34.23, Length=15, Bosses=2, WinRate=99.00%
Episode 43200: Reward=33.47, Length=15, Bosses=2, WinRate=97.00%
Episode 43400: Reward=36.69, Length=16, Bosses=2, WinRate=96.00%
Episode 43600: Reward=98.27, Length=23, Bosses=4, WinRate=99.00%
Episode 43800: Reward=58.95, Length=16, Bosses=3, WinRate=97.00%
Episode 44000: Reward=70.05, Length=20, Bosses=3, WinRate=98.00%
Episode 44200: Reward=25.52, Length=14, Bosses=1, WinRate=99.00%
Episode 44400: Reward=22.50, Length=8, Bosses=2, WinRate=98.00%
Episode 44600: Reward=97.15, Length=25, Bosses=4, WinRate=96.00%
Episode 44800: Reward=60.51, Length=19, Bosses=3, WinRate=99.00%
