Training log started
==================================================
EXPERIMENT CONFIGURATION
==================================================
num_episodes: 10000
learning_rate: 0.0015
gamma: 0.95
policy_type: card_aware
num_players: 2
max_hand_size: 7
card_embed_dim: 12
hidden_dim: 32
==================================================
Episode 100: Reward=201.30, Length=29, Bosses=5, WinRate=100.00%
Episode 200: Reward=51.30, Length=17, Bosses=1, WinRate=100.00%
Episode 300: Reward=94.70, Length=15, Bosses=2, WinRate=100.00%
Episode 400: Reward=287.40, Length=37, Bosses=5, WinRate=100.00%
Episode 500: Reward=74.30, Length=18, Bosses=1, WinRate=99.00%
Episode 600: Reward=68.40, Length=11, Bosses=1, WinRate=100.00%
Episode 700: Reward=41.10, Length=13, Bosses=1, WinRate=100.00%
Episode 800: Reward=77.40, Length=11, Bosses=2, WinRate=100.00%
Episode 900: Reward=28.80, Length=7, Bosses=1, WinRate=100.00%
Episode 1000: Reward=95.70, Length=16, Bosses=2, WinRate=100.00%
Episode 1100: Reward=84.60, Length=16, Bosses=2, WinRate=100.00%
Episode 1200: Reward=89.40, Length=17, Bosses=2, WinRate=100.00%
Episode 1300: Reward=28.80, Length=10, Bosses=1, WinRate=100.00%
Episode 1400: Reward=67.50, Length=9, Bosses=2, WinRate=100.00%
Episode 1500: Reward=62.80, Length=15, Bosses=1, WinRate=98.00%
Episode 1600: Reward=53.60, Length=9, Bosses=1, WinRate=100.00%
Episode 1700: Reward=41.80, Length=11, Bosses=1, WinRate=100.00%
Episode 1800: Reward=130.10, Length=18, Bosses=3, WinRate=100.00%
Episode 1900: Reward=39.40, Length=11, Bosses=1, WinRate=99.00%
Episode 2000: Reward=151.50, Length=25, Bosses=3, WinRate=100.00%
Episode 2100: Reward=44.50, Length=9, Bosses=1, WinRate=100.00%
Episode 2200: Reward=123.60, Length=17, Bosses=3, WinRate=100.00%
Episode 2300: Reward=159.10, Length=18, Bosses=4, WinRate=99.00%
Episode 2400: Reward=89.20, Length=18, Bosses=2, WinRate=99.00%
Episode 2500: Reward=117.00, Length=19, Bosses=3, WinRate=99.00%
Episode 2600: Reward=52.70, Length=12, Bosses=1, WinRate=100.00%
Episode 2700: Reward=50.30, Length=15, Bosses=1, WinRate=100.00%
Episode 2800: Reward=43.80, Length=11, Bosses=1, WinRate=100.00%
Episode 2900: Reward=158.80, Length=26, Bosses=4, WinRate=98.00%
Episode 3000: Reward=115.90, Length=15, Bosses=3, WinRate=99.00%
Episode 3100: Reward=45.60, Length=11, Bosses=1, WinRate=100.00%
Episode 3200: Reward=115.00, Length=13, Bosses=3, WinRate=100.00%
Episode 3300: Reward=131.20, Length=17, Bosses=3, WinRate=99.00%
Episode 3400: Reward=52.20, Length=11, Bosses=1, WinRate=100.00%
Episode 3500: Reward=37.40, Length=13, Bosses=1, WinRate=100.00%
Episode 3600: Reward=92.90, Length=15, Bosses=2, WinRate=100.00%
Episode 3700: Reward=103.40, Length=20, Bosses=2, WinRate=100.00%
Episode 3800: Reward=89.20, Length=18, Bosses=2, WinRate=100.00%
Episode 3900: Reward=202.20, Length=29, Bosses=4, WinRate=100.00%
Episode 4000: Reward=238.00, Length=32, Bosses=5, WinRate=100.00%
Episode 4100: Reward=57.40, Length=9, Bosses=1, WinRate=100.00%
