Training log started
==================================================
EXPERIMENT CONFIGURATION
==================================================
num_episodes: 50000
learning_rate: 0.001
gamma: 0.99
policy_type: fixed_actor_critic
num_players: 2
max_hand_size: 7
card_embed_dim: 16
hidden_dim: 64
entropy_coefficient: 0.02
value_loss_coefficient: 0.5
==================================================
Episode 8300: Reward=112.10, Length=16, Bosses=3, WinRate=100.00%
Episode 8400: Reward=144.20, Length=19, Bosses=3, WinRate=100.00%
Episode 8500: Reward=34.80, Length=7, Bosses=1, WinRate=100.00%
Episode 8600: Reward=34.90, Length=9, Bosses=1, WinRate=100.00%
Episode 8700: Reward=157.30, Length=20, Bosses=4, WinRate=100.00%
Episode 8800: Reward=114.40, Length=13, Bosses=3, WinRate=100.00%
Episode 8900: Reward=48.20, Length=13, Bosses=1, WinRate=100.00%
Episode 9000: Reward=56.50, Length=11, Bosses=1, WinRate=100.00%
Episode 9100: Reward=30.60, Length=7, Bosses=1, WinRate=99.00%
Episode 9200: Reward=138.10, Length=15, Bosses=3, WinRate=100.00%
Episode 9300: Reward=143.80, Length=26, Bosses=3, WinRate=100.00%
Episode 9400: Reward=108.30, Length=19, Bosses=2, WinRate=100.00%
Episode 9500: Reward=43.40, Length=11, Bosses=1, WinRate=100.00%
Episode 9600: Reward=82.40, Length=15, Bosses=2, WinRate=99.00%
Episode 9700: Reward=11.40, Length=6, Bosses=0, WinRate=100.00%
Episode 9800: Reward=142.10, Length=18, Bosses=3, WinRate=100.00%
Episode 9900: Reward=72.30, Length=10, Bosses=2, WinRate=100.00%
Episode 10000: Reward=156.70, Length=24, Bosses=4, WinRate=100.00%
Episode 10100: Reward=117.40, Length=17, Bosses=3, WinRate=100.00%
Episode 10200: Reward=72.00, Length=15, Bosses=1, WinRate=100.00%
Episode 10300: Reward=114.50, Length=18, Bosses=2, WinRate=100.00%
Episode 10400: Reward=81.70, Length=10, Bosses=2, WinRate=100.00%
Episode 10500: Reward=147.20, Length=19, Bosses=4, WinRate=100.00%
Episode 10600: Reward=59.80, Length=15, Bosses=1, WinRate=100.00%
Episode 10700: Reward=144.30, Length=19, Bosses=3, WinRate=100.00%
Episode 10800: Reward=138.00, Length=21, Bosses=3, WinRate=100.00%
Episode 10900: Reward=48.90, Length=13, Bosses=1, WinRate=100.00%
Episode 11000: Reward=114.60, Length=13, Bosses=3, WinRate=100.00%
Episode 11100: Reward=39.70, Length=6, Bosses=1, WinRate=100.00%
Episode 11200: Reward=167.10, Length=20, Bosses=4, WinRate=100.00%
Episode 11300: Reward=193.40, Length=24, Bosses=4, WinRate=100.00%
Episode 11400: Reward=138.50, Length=19, Bosses=3, WinRate=100.00%
Episode 11500: Reward=107.60, Length=17, Bosses=2, WinRate=100.00%
Episode 11600: Reward=80.80, Length=17, Bosses=2, WinRate=100.00%
Episode 11700: Reward=82.60, Length=12, Bosses=2, WinRate=100.00%
Episode 11800: Reward=37.40, Length=7, Bosses=1, WinRate=100.00%
